word,definition,part of speech,example
churlish,lacking manners or refinement.,adjective,"The manager was unnecessarily churlish to his subordinates, rarely deigning to say hello, but always quick with a sartorial jab if someone happened to be wearing anything even slightly mismatching."
complaisant,showing a cheerful willingness to do favors for others.,adjective,"On her first day at the job, Annie was complaisant, fulfilling every request of her new employee and. anticipating future requests."
complicit,"Associated with or participating in an activity, especially one of a questionable nature.",adjective,"While the grand jury cleared the senator of all criminal charges, in the public mind he was still complicit in the corruption."
conciliate,to make peace with.,verb,"His opponents believed his gesture to be conciliatory, yet as soon as they put down their weapons, he unsheathed a hidden sword."
concomitant,describing an event or situation that happens at the same time as or in connection with another.,adjective,Concomitant with his desire for nature was a desire for the culture and energy of a big city.
conflagration,a very intense and uncontrolled fire.,noun,"In the summer months, conflagrations are not uncommon in the southwest, do to the heat and lack of rain."
conflate,mix together different elements or concepts.,verb,"In her recent book, the author conflates several genres--the detective story, the teen thriller, and the vampire romance--to create a memorable read."
contentious,likely to argue.,adjective,"Since old grandpa Harry became very contentious during the summer when only reruns were on T.V., the grandkids learned to hide from him at every opportunity."
corollary,a practical consequence that follows naturally.,noun,"A corollary of Hurricane Sandy, which ravaged the east coast of the U.S., is a push to build higher sea walls to protect against future hurricanes."
cosseted,treat with excessive indulgence.,verb,"The king and queen cosseted the young prince, giving him a prized miniature pony for his fifth birthday."
coterminous,being of equal extent or scope or duration.,adjective,The border of the state is coterminous with geographic limits on travel; the east and north are surrounded by a nearly uncrossable river and the south by a desert.
countermand,a contrary command cancelling or reversing a previous command.,verb,"By the time the colonel countermanded his soldiers not to land in enemy territory, a few helicopters had already touched down amid heavy gunfire."
cow,to intimidate.,verb,"Do not be cowed by a 3,000-word vocabulary list: turn that list into a deck of flashcards!. This word has other definitions but this is the most important one for the GRE."
crestfallen,brought low in spirit.,adjective,I asked Maria on a date and she refused without a moment's thought; I was crestfallen.
crystallize,cause to take on a definite and clear shape.,verb,Only after fifteen minutes of brainstorming did Samantha's ideas for the essay crystallize. This word has other definitions but this is the most important one for the GRE.
cupidity,greed for money.,noun,Some believe people that amassing as much wealth as possible is the meaning to life--yet they often realize that cupidity brings anything but happiness.
curmudgeon,"a grouchy, surly person.",noun,"Since Uncle Mike was the family curmudgeon, each Thanksgiving he was plied with copious amounts of wine, in the hope that she would become less grouchy."
